"company_id","company_trade_name","nickname","make_default","has_facility","address_1","address_2","suite","city","state","postal","country"
"","AeroFarms","AeroFarms Abu Dhabi, UAE","False","True","9F7J+X3P","Musaffah - M-19","","Abu Dhabi","","00000","UAE"
"","AeroFarms","AeroFarms Danville, VA","False","True","1526 Cane Creek Pkwy","","","Ringgold","VA","24586","USA"
"","AeroFarms","AeroFarms HQ Farm - Newark","True","True","212 Rome Street","","","Newark","NJ","07105","USA"
"","AeroFarms","AeroFarms HQ Office - Newark","False","True","212 Rome Street","","","Newark","NJ","07105","USA"
"","AeroFarms","Midwest Farm","False","True","","","","St. Louis","MO","11111","USA"
"","AeroFarms","Newark Farm","False","True","400 Ferry Street","","","Newark","NJ","07105","USA"
"","AeroFarms","Research and Development Farm - Newark","False","True","89 Market Street","","","Newark","NJ","07102","USA"
"","Bowery Farming","Bethlehem Farm","True","True","1025 Feather Wy","","","Bethlehem","PA","18015","USA"
"","Bowery Farming","Bowery Farming HQ","False","True","151 W 26TH ST","","","New York","NY","10001","USA"
"","Bowery Farming","Nottingham Farm","False","True","10000 Franklin Square Dr","Suite 300","","Nottingham","MD","21237","USA"
"","BrightFarms","BrightFarms CAR Greenhouse","False","True","822 Pleasant Grove Rd","","","Hendersonville","NC","28739","USA"
"","BrightFarms","BrightFarms Corporate office","False","True","50 S Buckhout St","","Suite 202","Irvington","NY","10533","USA"
"","BrightFarms","BrightFarms LMT Greenhouse","False","False","754 Stony Hill Rd","","","Yardley","PA","19067","USA"
"","BrightFarms","BrightFarms OHI Greenhouse","False","True","780 Davids Dr","","","Wilmington","OH","45177","USA"
"","BrightFarms","Culpeper, Virginia Farm","False","True","13200 Willow Run Drive","","","Elkwood","VA","22718","USA"
"","BrightFarms","Loudon, New Hampshire Farm","False","True","662 NH-106","","","Loudon","NH","03307","USA"
"","BrightFarms","Rochelle, Illinois Farm","False","True","600 S Caron Rd","","","Rochelle","IL","61068","USA"
"","BrightFarms","Selinsgrove, Pennsylvania Farm","True","True","1 Lorian Drive","","","Selinsgrove","PA","17870","USA"
"","Element Farms","Production farm","True","True","","","","Lafayette","NJ","07848","USA"
"","Farm.One","Flagship Farm","True","True","625 Bergen St","","","Brooklyn","NY","11238","USA"
"","Farm.One","Flagship Farm - office","False","True","625 Bergen St","","","Brooklyn","NY","11238","USA"
"","Gotham Greens","Aurora, Denver Metro greenhouse","False","True","2503 Dallas St","","","Aurora","CO","80010","USA"
"","Gotham Greens","Baltimore greenhouse","False","True","2003 Reservoir Rd","","","Sparrows Point","MD","21219","USA"
"","Gotham Greens","Chicago Method soap factory greenhouse","False","True","720 E 111th St","","","Chicago","IL","60628","USA"
"","Gotham Greens","Chicago Woodlawn Ave greenhouse","False","True","10636 S Woodlawn Ave","","","Chicago","IL","60628","USA"
"","Gotham Greens","Davis, California greenhouse","False","True","9113 Olmo Ln","","","Davis","CA","95616","USA"
"","Gotham Greens","Gowanus, Brooklyn greenhouse","True","True","214 3rd St","","","Brooklyn","NY","11215","USA"
"","Gotham Greens","Greenpoint, Brooklyn greenhouse","False","True","810 Humboldt St","","","Brooklyn","NY","11222","USA"
"","Gotham Greens","Headquarters","False","True","315 3rd Ave","","","Brooklyn","NY","11215","USA"
"","Gotham Greens","Jamaica, Queens greenhouse","False","True","184-60 Jamaica Ave","","","Hollis","NY","11423","USA"
"","Gotham Greens","Providence greenhouse","False","True","555 Harris Ave","","","Providence","RI","02909","USA"
"","Gotham Greens","Stevensburg, Virginia greenhouse","False","True","19315 Carrico Mills Rd","","","Stevensburg","VA","22741","USA"
"","Oishii","Jersey City Farm","True","True","101 Linden Avenue East","","","Jersey City","NJ","07305","USA"
"","Oishii","Los Angeles farm","False","True","","","","Culver City","CA","90232","USA"
"","Radicle Farm","Farm","True","True","19X Christopher Columbus Dr","","","Newark","NJ","07107","USA"
"","Radicle Farm","Office","False","True","394 Broadway","5th Fl","","New York","NY","10013","USA"
"","Smallhold","Brooklyn Macrofarm","True","True","630 Flushing Ave","","","Brooklyn","NY","11206","USA"
"","Smallhold","Headquarters","False","True","33 Carlton Avenue","","","Brooklyn","NY","11205","USA"
"","Smallhold","Vernon Farm","False","True","3257 E 26th St","","","Vernon","CA","90058","USA"
"","Square Roots","Brooklyn farm","True","True","630 Flushing Ave.","","","Brooklyn","NY","11206","USA"
"","Square Roots","Grand Rapids Campus","False","True","1300 Gezon Parkway SW","","","Wyoming","MI","49509","USA"
"","Square Roots","Headquarters","False","True","1133 Manhattan Ave","","","Brooklyn","NY","11222","USA"
"","Square Roots","Kenosha farm","False","True","10901 38th Street","","","Kenosha","WI","53144","USA"
"","Upward Farms","Headquarters farm","True","True","181 Lombardy St","","","Brooklyn","NY","11222","USA"
"","Upward Farms","Headquarters office","False","True","181 Lombardy St","","","Brooklyn","NY","11222","USA"
