"company_trade_name AeroFarms","company_id ","nickname AeroFarms Danville, VA","is_farm yes","is_office ","is_country_hq ","is_other_type ","year_opened ","address_id ","facility_employees "
"AeroFarms","","AeroFarms HQ Newark, NJ","yes","yes","yes","","2016","",""
"AeroFarms","","Midwest Farm","yes","","","","","",""
"AeroFarms","","Newark Farm","yes","","","","2015","",""
"AeroFarms","","Research and Development Farm - Newark","yes","","","","2013","",""
"Bowery Farming","","Bethlehem Farm","yes","","","","","",""
"Bowery Farming","","Headquarters","","yes","yes","","","",""
"Bowery Farming","","Kearny Farm","yes","","","","2017","",""
"Bowery Farming","","Kearny Research & Development Center","yes","","","","","",""
"Bowery Farming","","Nottingham Farm","yes","","","","","",""
"BrightFarms","","Culpeper, Virginia Farm","","","","","","",""
"BrightFarms","","Farm Support Center","","yes","","","","",""
"BrightFarms","","Headquarters","no","yes","yes","","","",""
"BrightFarms","","Hendersonville, North Carolina Farm","yes","","","","","",""
"BrightFarms","","Loudon, New Hampshire Farm","yes","","","","","",""
"BrightFarms","","Rochelle, Illinois Farm","yes","","","","","",""
"BrightFarms","","Selinsgrove, Pennsylvania Farm","yes","","","","","",""
"BrightFarms","","unknown","unknown","unknown","","","","",""
"BrightFarms","","Wilmington, Ohio Farm","yes","","","","","",""
"Element Farms","","HQ","","yes","yes","","2021","",""
"Element Farms","","Production farm","yes","","","","2019","",""
"Farm.One","","Flagship Farm","yes","yes","","","","",""
"Gotham Greens","","Atlanta Metro greenhouse - coming soon","yes","","","","","",""
"Gotham Greens","","Aurora, Denver Metro greenhouse","yes","","","","","",""
"Gotham Greens","","Baltimore greenhouse","yes","","","","","",""
"Gotham Greens","","Chicago Method soap factory greenhouse","yes","","","","2015","",""
"Gotham Greens","","Chicago Woodlawn Ave greenhouse","yes","","","","2019","",""
"Gotham Greens","","Dallas County greenhouse - coming soon","yes","","","","","",""
"Gotham Greens","","Davis, California greenhouse","yes","","","","","",""
"Gotham Greens","","Denver Metro greenhouse - coming soon","yes","","","","","",""
"Gotham Greens","","Gowanus, Brooklyn greenhouse","yes","","","","2013","",""
"Gotham Greens","","Greenpoint, Brooklyn greenhouse","yes","","","","2011","",""
"Gotham Greens","","Headquarters","","yes","yes","","","",""
"Gotham Greens","","Jamaica, Queens greenhouse","yes","","","","2015","",""
"Gotham Greens","","Providence greenhouse","yes","","","","","",""
"Gotham Greens","","Stevensburg, Virginia greenhouse","yes","","","","2022","",""
"Oishii","","Jersey City Farm","yes","","","","2022","",""
"Oishii","","Kearny farm","yes","","","","","",""
"Oishii","","Los Angeles farm","yes","","","","2021","",""
"Radicle Farm","","Farm","yes","","","","2015","",""
"Radicle Farm","","Office","","yes","yes","","2014","",""
"Smallhold","","Brooklyn Macrofarm","yes","","","","","",""
"Smallhold","","Buda Farm - production","yes","","","","","",""
"Smallhold","","Buda Farm - R&D","yes","","","","","",""
"Smallhold","","Headquarters","","yes","yes","","","",""
"Smallhold","","Vernon Farm","yes","","","","","",""
"Square Roots","","Brooklyn farm","yes","","","","2017","",""
"Square Roots","","Grand Rapids Campus","yes","","","","","",""
"Square Roots","","Headquarters","","yes","yes","","","",""
"Square Roots","","Kenosha farm","yes","","","","","",""
"Square Roots","","Shepherdsville Campus","yes","yes","","","","",""
"Square Roots","","Springfield Campus","yes","","","","","",""
"Upward Farms","","Headquarters","yes","yes","yes","","","",""
"AeroFarms","","AeroFarms Abu Dhabi, UAE","yes","","","","","",""
