"nickname","latitude","longitude"
"AeroFarms Abu Dhabi, UAE",24.4538352,54.3774014
"AeroFarms Danville, VA",36.5859718,-79.3950228
"AeroFarms HQ Farm - Newark",40.7272026,-74.14135658172515
"AeroFarms HQ Office - Newark",40.7272026,-74.14135658172515
"Midwest Farm",38.6319657,-90.2428756
"Newark Farm",40.729577075,-74.146673825
"Research and Development Farm - Newark",40.73250071428571,-74.158006
"Bethlehem Farm",-1.45056,-48.4682453
"Nottingham Farm",39.3639964,-76.4521842
"Culpeper, Virginia Farm",38.518447800000004,-77.84954489333333
"Loudon, New Hampshire Farm",43.327041181014884,-71.47701175973803
"Rochelle, Illinois Farm",41.90879307621249,-89.04340922690415
"Wilmington, Ohio Farm",39.427100884692514,-83.80846198323282
"HQ",40.8963634,-74.0659712
"Production farm",41.0984301,-74.6884965
"Flagship Farm",40.6798096,-73.96886475404577
"Flagship Farm - office",40.6798096,-73.96886475404577
"Atlanta Metro greenhouse - coming soon",-4.7809494,38.2972458
"Aurora, Denver Metro greenhouse",39.75226480536913,-104.87649638926175
"Baltimore greenhouse",39.242178249999995,-76.4731774
"Chicago Method soap factory greenhouse",41.6969941,-87.60139819853168
"Chicago Woodlawn Ave greenhouse",41.7750658,-87.5960762
"Denver Metro greenhouse - coming soon",33.0668823,-80.2563089
"Gowanus, Brooklyn greenhouse",40.674874599999995,-73.98878260316653
"Greenpoint, Brooklyn greenhouse",40.7296284,-73.9459761
"Jamaica, Queens greenhouse",40.7094513,-73.7741357
"Providence greenhouse",41.82385675385032,-71.43598686660164
"Jersey City Farm",40.68950110179564,-74.08698586960864
"Los Angeles farm",48.4152529,-79.5385628
"Brooklyn Macrofarm",40.6997877,-73.94817687109318
"Buda Farm - production",30.082475,-97.8417144
"Buda Farm - R&D",30.082475,-97.8417144
"Vernon Farm",34.007135,-118.22525
"Brooklyn farm",40.6997877,-73.94817687109318
"Grand Rapids Campus",42.85940815,-85.6960287143119
"Kenosha farm",42.6025592,-87.823088
"Shepherdsville Campus - farm",37.9885936,-85.7158246
"Shepherdsville Campus - office",37.9885936,-85.7158246
"Springfield Campus",39.9234046,-83.810138
"Headquarters farm",40.723801699999996,-73.93346733876845
"Headquarters office",40.723801699999996,-73.93346733876845
"Headquarters",40.746020799673424, -73.99326595980696
